-0.05012,0.6
-0.05008,0.8
-0.05004,1.0
-0.05,1.4
-0.04996,1.6
-0.04992,1.8
-0.04988,2.2
-0.04984,2.4
-0.0498,2.6
-0.04976,3.0
-0.04972,3.2
-0.04968,3.4
-0.04964,3.8
-0.0496,4.2
-0.04956,4.4
-0.04952,4.6
-0.04948,4.8
-0.04944,5.2
-0.0494,5.4
-0.04936,5.6
-0.04932,5.8
-0.04928,6.0
-0.04924,6.4
-0.0492,6.6
-0.04916,6.8
-0.04912,7.0
-0.04908,7.2
-0.04904,7.4
-0.049,7.6
-0.04896,8.0
-0.04892,8.0
-0.04888,8.2
-0.04884,8.4
-0.0488,8.6
-0.04876,8.8
-0.04872,9.0
-0.04868,9.2
-0.04864,9.4
-0.0486,9.4
-0.04856,9.6
-0.04852,9.8
-0.04848,9.8
-0.04844,10.0
-0.0484,10.2
-0.04836,10.4
-0.04832,10.4
-0.04828,10.4
-0.04824,10.6
-0.0482,10.6
-0.04816,10.8
-0.04812,10.8
-0.04808,11.0
-0.04804,11.0
-0.048,11.0
-0.04796,11.2
-0.04792,11.2
-0.04788,11.2
-0.04784,11.2
-0.0478,11.2
-0.04776,11.4
-0.04772,11.4
-0.04768,11.2
-0.04764,11.4
-0.0476,11.2
-0.04756,11.2
-0.04752,11.2
-0.04748,11.2
-0.04744,11.0
-0.0474,11.0
-0.04736,11.0
-0.04732,11.0
-0.04728,11.0
-0.04724,10.8
-0.0472,10.8
-0.04716,10.8
-0.04712,10.6
-0.04708,10.4
-0.04704,10.4
-0.047,10.4
-0.04696,10.2
-0.04692,10.0
-0.04688,9.8
-0.04684,9.8
-0.0468,9.6
-0.04676,9.4
-0.04672,9.4
-0.04668,9.2
-0.04664,9.0
-0.0466,8.8
-0.04656,8.6
-0.04652,8.4
-0.04648,8.2
-0.04644,8.0
-0.0464,7.8
-0.04636,7.6
-0.04632,7.4
-0.04628,7.2
-0.04624,7.0
-0.0462,6.8
-0.04616,6.6
-0.04612,6.2
-0.04608,6.0
-0.04604,5.8
-0.046,5.6
-0.04596,5.4
-0.04592,5.0
-0.04588,4.8
-0.04584,4.6
-0.0458,4.4
-0.04576,4.0
-0.04572,3.8
-0.04568,3.4
-0.04564,3.2
-0.0456,3.0
-0.04556,2.6
-0.04552,2.4
-0.04548,2.2
-0.04544,1.8
-0.0454,1.6
-0.04536,1.4
-0.04532,1.0
-0.04528,0.6
-0.04524,0.4
-0.0452,0.2
-0.04516,0.0
-0.04512,-0.4
-0.04508,-0.6
-0.04504,-1.0
-0.045,-1.2
-0.04496,-1.6
-0.04492,-1.8
-0.04488,-2.2
-0.04484,-2.4
-0.0448,-2.6
-0.04476,-3.0
-0.04472,-3.4
-0.04468,-3.6
-0.04464,-3.8
-0.0446,-4.2
-0.04456,-4.4
-0.04452,-4.6
-0.04448,-4.8
-0.04444,-5.0
-0.0444,-5.4
-0.04436,-5.6
-0.04432,-5.8
-0.04428,-6.0
-0.04424,-6.4
-0.0442,-6.6
-0.04416,-6.8
-0.04412,-7.0
